"scientificname","commonname","aphiaid","tsn","taxonstatus","aphiaidaccepted","scientificnameaccpt","classname","ordername","family","genus","species"
Gymnothorax vicinus,purplemouth moray,"126302","161193",accepted,"126302",Gymnothorax vicinus,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,vicinus
Manta cf birostris,Caribbean manta,"1026118",,accepted,"1026118",Mobula birostris,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,birostris
Scomberomorus cavalla,king mackerel,"159340","172435",accepted,"159340",Scomberomorus cavalla,Actinopteri,Scombriformes,Scombridae,Scomberomorus,cavalla
Mobula cf. birostris,Caribbean manta ray,"1026118",,accepted,"1026118",Mobula cf. birostris,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,birostris
Pseudobatos lentiginosus,Atlantic guitarfish,"1043479",,accepted,"1043479",Pseudobatos lentiginosus,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Pseudobatos,lentiginosus
Rhinoptera bonasus,cownose ray,"158544","160985",accepted,"158544",Rhinoptera bonasus,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,bonasus
Scomberomorus maculatus,Spanish mackerel,"159342","172436",accepted,"159342",Scomberomorus maculatus,Actinopteri,Scombriformes,Scombridae,Scomberomorus,maculatus
Alosa sapidissima,American shad,"158670","161702",accepted,"158670",Alosa sapidissima,Actinopteri,Clupeiformes,Clupeidae,Alosa,sapidissima
Diodon hystrix,porcupinefish,"127403","173391",accepted,"127403",Diodon hystrix,Actinopteri,Tetraodontiformes,Diodontidae,Diodon,hystrix
Triplofusus giganteus,horse conch,"420051",,accepted,"420051",Triplofusus giganteus,Gastropoda,Neogastropoda,Fasciolariidae,Triplofusus,giganteus
Seriola dumerili,greater amberjack,"126816","168689",accepted,"126816",Seriola dumerili,Actinopteri,Carangiformes,Carangidae,Seriola,dumerili
Isurus oxyrinchus,Atlantic mako shark,"105839","159924",accepted,"105839",Isurus oxyrinchus,Elasmobranchii,Lamniformes,Lamnidae,Isurus,oxyrinchus
Micropterus salmoides,largemouth bass,"151295","168160",accepted,"151295",Micropterus salmoides,Actinopteri,Centrarchiformes,Centrarchidae,Micropterus,salmoides
Scarus taeniopterus,princess parrotfish,"276062","170815",accepted,"276062",Scarus taeniopterus,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,taeniopterus
Archosargus rhomboidalis,sea bream,"159239","169190",accepted,"159239",Archosargus rhomboidalis,Actinopteri,Eupercaria incertae sedis,Sparidae,Archosargus,rhomboidalis
Carcharhinus perezii,reef shark,"271324","160336",unaccepted,"298438",Carcharhinus perezi,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,perezii
Cinctura hunteria,banded tulip snails,"607920",,accepted,"607920",Cinctura hunteria,Gastropoda,Neogastropoda,Fasciolariidae,Cinctura,hunteria
Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,"151802","553269",accepted,"151802",Acipenser oxyrinchus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus
Cephalopholis cruentata,graysby,"279146","181220",accepted,"279146",Cephalopholis cruentata,Actinopteri,Perciformes,Serranidae,Cephalopholis,cruentata
Sparisoma aurofrenatum,redband parrotfish,"273772","170863",accepted,"273772",Sparisoma aurofrenatum,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,aurofrenatum
Chelonia mydas,green turtle,"137206","173833",accepted,"137206",Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,mydas
Lepidochelys kempii,Kemp's ridley sea turtle,"137208","551770",accepted,"137208",Lepidochelys kempii,Reptilia,Testudines,Cheloniidae,Lepidochelys,kempii
Pogonias cromis,black drum,"159333","169288",accepted,"159333",Pogonias cromis,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Pogonias,cromis
Epinephelus itajara,goliath grouper,"159353","167695",accepted,"159353",Epinephelus itajara,Teleostei,Perciformes,Serranidae,Epinephelus,itajara
Caranx hippos,crevalle jack,"126803","168609",accepted,"126803",Caranx hippos,Actinopteri,Carangiformes,Carangidae,Caranx,hippos
Sparisoma viride,stoplight parrotfish,"273780","170867",accepted,"273780",Sparisoma viride,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,viride
Manta birostris,giant manta,"105857","160992",unaccepted,"1026118",Mobula birostris,Elasmobranchii,Myliobatiformes,Myliobatidae,Manta,birostris
Mugil cephalus,striped mullet,"126983","170335",accepted,"126983",Mugil cephalus,Teleostei,Mugiliformes,Mugilidae,Mugil,cephalus
Lutjanus analis,mutton snapper,"159792","168849",accepted,"159792",Lutjanus analis,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,analis
Sphyrna mokarran,great hammerhead,"105817","160515",accepted,"105817",Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,mokarran
Carcharhinus acronotus,blacknose shark,"158508","160304",accepted,"158508",Carcharhinus acronotus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,acronotus
